epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,967.133,0.91332,0.83782,0.98079,0.83564,0.82648,0.89446,0.74749,0.62028,0.59658,0.88099,0.00333002,0.00333002,0.00333002
2,1955.06,0.77594,0.64015,0.92011,0.85157,0.84234,0.90853,0.7744,0.59463,0.56408,0.88278,0.00653142,0.00653142,0.00653142
3,2936.9,0.76342,0.63631,0.92617,0.8464,0.83517,0.90274,0.76364,0.6118,0.59233,0.89691,0.00960081,0.00960081,0.00960081
4,3910.06,0.72695,0.61321,0.92368,0.85506,0.84581,0.91315,0.78465,0.57228,0.53628,0.8823,0.009406,0.009406,0.009406
5,4869.49,0.68294,0.58397,0.91524,0.86231,0.85311,0.91957,0.80463,0.53478,0.50625,0.87419,0.009208,0.009208,0.009208
6,5831.2,0.66707,0.57113,0.91007,0.86391,0.85817,0.92226,0.80278,0.54296,0.49615,0.87216,0.00901,0.00901,0.00901
7,6803.14,0.65998,0.56675,0.9093,0.86644,0.86088,0.92502,0.81824,0.50758,0.48183,0.8666,0.008812,0.008812,0.008812
8,7764.55,0.65189,0.56026,0.90689,0.86733,0.86494,0.92706,0.8242,0.494,0.47033,0.86179,0.008614,0.008614,0.008614
9,8735.45,0.64582,0.55469,0.90507,0.86909,0.86719,0.92912,0.82849,0.48694,0.46233,0.85882,0.008416,0.008416,0.008416
10,9706.76,0.63956,0.55211,0.90387,0.87097,0.86834,0.93028,0.83093,0.4822,0.45635,0.85804,0.008218,0.008218,0.008218
11,10668.7,0.63266,0.54656,0.90256,0.8704,0.86892,0.9303,0.8277,0.49033,0.45738,0.85948,0.00802,0.00802,0.00802
12,11631.5,0.63012,0.54384,0.90147,0.87133,0.86928,0.93081,0.8291,0.48629,0.45439,0.85778,0.007822,0.007822,0.007822
13,12604.1,0.62303,0.53933,0.90028,0.87165,0.87003,0.93128,0.82999,0.48426,0.45145,0.85763,0.007624,0.007624,0.007624
14,13571.5,0.62295,0.53866,0.90003,0.87242,0.87073,0.93202,0.83315,0.47702,0.448,0.85554,0.007426,0.007426,0.007426
15,14518.6,0.61702,0.53502,0.89814,0.872,0.87144,0.93214,0.83316,0.47669,0.44711,0.85526,0.007228,0.007228,0.007228
16,15466.6,0.61473,0.53443,0.89754,0.87225,0.87185,0.93254,0.83471,0.47262,0.44473,0.85429,0.00703,0.00703,0.00703
17,16402.9,0.61047,0.52873,0.89567,0.87213,0.87233,0.9328,0.83582,0.46954,0.44324,0.85363,0.006832,0.006832,0.006832
18,17348.8,0.60715,0.52828,0.89531,0.87239,0.87294,0.93308,0.83756,0.46579,0.44105,0.85287,0.006634,0.006634,0.006634
19,18301.5,0.60384,0.5263,0.89474,0.87228,0.87353,0.93326,0.83865,0.46346,0.43961,0.85244,0.006436,0.006436,0.006436
20,19239.5,0.60194,0.52385,0.89319,0.8733,0.87329,0.93356,0.83987,0.46029,0.43798,0.85171,0.006238,0.006238,0.006238
21,20205,0.59754,0.52243,0.89283,0.87345,0.87356,0.93378,0.84074,0.45857,0.43666,0.85134,0.00604,0.00604,0.00604
22,21163.8,0.59631,0.51952,0.89213,0.87398,0.87361,0.93399,0.84183,0.45633,0.43528,0.85085,0.005842,0.005842,0.005842
23,22116.6,0.59074,0.51681,0.89023,0.87375,0.87449,0.93425,0.84304,0.45402,0.43387,0.85037,0.005644,0.005644,0.005644
24,23050.5,0.58835,0.51404,0.89075,0.87411,0.87457,0.93451,0.84415,0.45176,0.43248,0.84991,0.005446,0.005446,0.005446
25,24027.2,0.58609,0.5143,0.88982,0.87475,0.8743,0.93469,0.84492,0.45011,0.43139,0.84959,0.005248,0.005248,0.005248
26,24989.8,0.58199,0.50926,0.88779,0.87498,0.87464,0.93495,0.84579,0.44795,0.43023,0.84916,0.00505,0.00505,0.00505
27,25957.6,0.57916,0.50751,0.88778,0.87581,0.87441,0.93521,0.84671,0.44542,0.42902,0.84872,0.004852,0.004852,0.004852
28,26926.5,0.5745,0.50393,0.88543,0.87618,0.87454,0.93543,0.84772,0.44365,0.42813,0.84842,0.004654,0.004654,0.004654
29,27882.7,0.57239,0.50222,0.88432,0.87624,0.87495,0.93573,0.84877,0.44177,0.42729,0.84805,0.004456,0.004456,0.004456
30,28834.6,0.56729,0.50186,0.88444,0.87642,0.87513,0.93595,0.84966,0.43972,0.42676,0.84771,0.004258,0.004258,0.004258
31,29796.3,0.56465,0.4971,0.88292,0.87711,0.87483,0.93618,0.85049,0.43833,0.42647,0.84755,0.00406,0.00406,0.00406
32,30748.9,0.55923,0.49385,0.88186,0.87752,0.87482,0.93638,0.85159,0.43639,0.42638,0.8473,0.003862,0.003862,0.003862
33,31705,0.55448,0.48991,0.87923,0.8773,0.87542,0.93661,0.85233,0.4348,0.42645,0.8471,0.003664,0.003664,0.003664
34,32676.1,0.55143,0.48969,0.87881,0.87806,0.87487,0.93683,0.85308,0.43308,0.42672,0.84689,0.003466,0.003466,0.003466
35,33635.2,0.54931,0.48535,0.87755,0.8779,0.87526,0.93704,0.85411,0.43132,0.42719,0.84674,0.003268,0.003268,0.003268
36,34590.8,0.5442,0.48128,0.87698,0.87839,0.87492,0.93723,0.85516,0.42955,0.42802,0.84668,0.00307,0.00307,0.00307
37,35540.7,0.53934,0.47944,0.87512,0.87806,0.87546,0.93743,0.85596,0.42771,0.42924,0.84664,0.002872,0.002872,0.002872
38,36493.8,0.53611,0.47614,0.87387,0.8784,0.87536,0.93761,0.85665,0.42591,0.43076,0.84665,0.002674,0.002674,0.002674
39,37441,0.53015,0.47055,0.87263,0.87822,0.87553,0.93776,0.85728,0.42435,0.43273,0.84684,0.002476,0.002476,0.002476
40,38412.6,0.5273,0.47213,0.87146,0.87804,0.87576,0.93793,0.85823,0.42273,0.43537,0.84706,0.002278,0.002278,0.002278
41,39377.4,0.4771,0.44425,0.85731,0.87808,0.87625,0.93827,0.86011,0.41825,0.43637,0.84651,0.00208,0.00208,0.00208
42,40326.8,0.46915,0.43794,0.85455,0.87907,0.87554,0.93854,0.86198,0.41421,0.43681,0.84594,0.001882,0.001882,0.001882
43,41292.1,0.45947,0.43049,0.85191,0.87895,0.87608,0.93873,0.8633,0.41123,0.43745,0.84551,0.001684,0.001684,0.001684
44,42248.9,0.45212,0.42707,0.85059,0.87931,0.87596,0.93888,0.8644,0.40952,0.43845,0.84535,0.001486,0.001486,0.001486
45,43216.5,0.44466,0.41896,0.84793,0.87918,0.87603,0.93892,0.86519,0.40888,0.43996,0.84538,0.001288,0.001288,0.001288
46,44175.4,0.43571,0.41166,0.84576,0.87922,0.87581,0.93891,0.86523,0.40932,0.4418,0.84566,0.00109,0.00109,0.00109
47,45120.9,0.42872,0.40478,0.84369,0.87908,0.87581,0.93886,0.86501,0.41029,0.44388,0.84606,0.000892,0.000892,0.000892
48,46063.8,0.41842,0.39606,0.84073,0.87812,0.87645,0.93877,0.8648,0.41163,0.4467,0.84657,0.000694,0.000694,0.000694
49,47019.9,0.40991,0.38718,0.83794,0.87807,0.87618,0.93864,0.86437,0.41341,0.44971,0.84715,0.000496,0.000496,0.000496
50,47968.6,0.40175,0.37685,0.8364,0.87736,0.87674,0.93853,0.86351,0.4151,0.45217,0.8477,0.000298,0.000298,0.000298
